name	CAS_num	aroma	flavor
(Z)-2-Hexen-1-Ol	928-94-9		liquorlike
(Z)-3 And (E)-2-Hexenyl Propionate (Mixture)			vegetal
(Z)-3-Hexenyl (E)-2-Butenoate			vegetal fruity
(Z)-3-Hexenyl (E)-2-Methyl 2-Butenoate	67883-79-8	earthy fruity floral	vegetal vegetal|vegetable earthy|fungal
(Z)-3-Hexenyl Anthranilate	65405-76-7		floral
(Z)-3-Hexenyl Isobutyrate	41519-23-7	fruity	fruity
(Z)-3-Hexenyl Propionate	33467-74-2	vegetal	
(Z)-3-Hexenyl Pyruvate	68133-76-6	sweet brown sharp|spicy	floral vegetal|herbal
(Z)-3-Hexenyl Valerate	35852-46-1	fruity fatty dairy	fruity
(Z)-4-Hepten-1-Ol	6191-71-5	fruity	
(Z)-4-Hydroxy-6-Dodecenoic Acid Lactone	18679-18-0	dairy	fruity
(Z)-4-Propenylphenol	85960-81-2		earthy|nutty
(Z)-5-Octenyl Propionate	196109-18-9	fruity	floral
(Z)-8-Tetradecenal	169054-69-7		vegetal
	23726-92-3		floral
	23726-94-5		vegetal|herbal
(dipentene)	7705-14-8	sharp|sour fruity|citrusy	
	6485-40-1	vegetal minty vegetal|herbal	
1,1-Dimethoxy-2,2,5-trimethyl-4-hexene	67674-46-8	sharp|bitter fruity|citrusy	
1,1-Dimethoxy-Trans-2-Hexene	18318-83-7	fruity	savory|meaty fruity
1,1-Dimethoxyethane	534-15-6	vegetal	
1,2,3-Tris[(1-Ethoxy)Ethoxy]-Propane	67715-82-6		earthy|nutty
1,2,5,6-Tetrahydrocuminic Acid	71298-42-5	sharp|sour vegetal|herbal	savory|meaty
1,2-Butanedithiol	16128-68-0	savory|meaty sharp|sulfurous savory|cooked	
1,2-Di[(1-Ethoxy)-Ethoxy]Propane	67715-79-1		earthy|nutty
1,3,5-Undecatriene (A Mixture Of 1,3(E),5(Z)- And 1,3(E),5(E)-Isomers)	16356-11-9	fruity	vegetal
1,3-Butanedithiol	24330-52-7	vegetal|allium sharp|sulfurous sharp|spicy	
1,3-Butylene Glycol	"6290-03-5
107-88-0
18826-95-4
24621-61-2"		sharp|bitter
1,3-Diphenyl-2-Propanone	102-04-5	fruity sharp|sour sharp|bitter sharp|salty earthy|nutty	sweet floral brown sharp|bitter
1,3-Nonanediol Acetate, Mixed Esters	1322-17-4	floral	
1,3-Propanedithiol	109-80-8	savory|meaty sharp|sulfurous	
1,4-Dimethyl-4-Acetyl-1-Cyclohexene	43219-68-7	fruity sharp|sour dairy	
1,4-Dithiane	505-29-3	vegetal|allium savory|fishy	vegetal|allium
1,5,9-Trimethyl-13-oxabicyclo[10.1.0]trideca-4,8-diene	13786-79-3	earthy|woody	
1,5-Octadien-3-One	65213-86-7	earthy	
1,6-Hexalactam	105-60-2	sharp|spicy	savory|meaty fruity starchy
1,6-Hexanedithiol	1191-43-1	savory|meaty	
1,8-Octanedithiol	1191-62-4	savory|meaty sharp|sulfurous	
1,9-Nonanedithiol	3489-28-9	savory|meaty sharp|sulfurous	
1-(2,2,6-Trimethylcyclohexyl)hexan-3-ol	70788-30-6	earthy|woody	
1-(2,4,4-Trimethyl-2-cyclohexen-1-yl)-2-buten-1-one	39872-57-6	fruity floral	
1-(2-Furyl)Butan-3-One	699-17-2	sweet brown sharp|spicy	savory|meaty sweet fruity starchy sharp|spicy brown
1-(3-Hydroxy-5-Methyl-2-Thienyl)Ethanone	133860-42-1	savory|meaty savory|cooked brown	savory|meaty fatty
