name	CAS_num	aroma	flavor
2-Ethyl-6-Methylpyrazine	13925-03-6	savory|cooked starchy	
2-Ethylbutyl Acetate	10031-87-5	sharp|sulfurous sharp|sour	
2-Ethylbutyraldehyde	97-96-1	sharp|sour earthy|dry	
2-Ethylbutyric Acid	"88-09-5
134331-89-8"	sharp|sour fatty	sharp|sour
2-Ethylfuran	3208-16-0	savory|cooked sharp|bitter	
2-Ethylpyrazine	13925-00-3	earthy|woody fatty earthy|nutty dairy	savory|meaty savory|cooked brown|chocolate sharp|bitter earthy|nutty
2-Ethylthiophenol	4500-58-7	savory|cooked sharp|bitter	vegetal|allium brown earthy|nutty sharp|bitter
2-Formyl Benzofuran	4265-16-1	sharp|bitter earthy|nutty	
2-Formyl-6,6-Dimethylbicyclo[3.1.1]Hept-2-Ene	564-94-3	vegetal sharp|spicy fatty vegetal|herbal	vegetal sharp|spicy earthy|woody
2-Furanmethanethiol Formate	59020-90-5	savory|cooked brown sharp|bitter	savory|cooked brown|chocolate sharp|bitter
2-Furfurylidene Butyraldehyde	770-27-4	vegetal|vegetable	brown|vanilla brown|chocolate brown sharp|bitter
2-Furylmethanethiol	98-02-2	sharp|sulfurous savory|cooked brown sharp|bitter	
2-Heptanethiol		sharp|sulfurous	
2-Heptanol	543-49-7	vegetal|herbal fruity sharp|sour fatty earthy|nutty fruity|citrusy	fruity sharp|bitter
2-Heptanone	110-43-0	vegetal|herbal fruity dairy sharp|sour sharp|spicy	fruity dairy
2-Heptylcyclopentanone	137-03-1	fruity floral vegetal|herbal	
2-Heptylfuran	3777-71-7	earthy|nutty dairy	
2-Hexen-1-Ol	2305-21-7	fruity fruity|berry fruity|citrusy	fruity fruity|berry vegetal|herbal
2-Hexen-1-Yl Acetate	2497-18-9	fruity sharp|sour	fruity
2-Hexenal	505-57-7	vegetal	vegetal fruity
2-Hexenyl Octanoate	85554-72-9	fruity	savory|meaty fruity
2-Hexyl-4-Acetoxytetrahydrofuran	10039-39-1	fruity floral	fruity
2-Hexyl-5 Or 6-Keto-1,4-Dioxane		earthy|nutty dairy	
2-Hexylidene Cyclopentanone	17373-89-6	fruity floral sharp|spicy vegetal|herbal	
2-Hexylthiophene	18794-77-9	savory|meaty sharp|sulfurous	savory|meaty vegetal|vegetable fruity|berry
2-Hydroxy-4-Methyl Benzaldehyde	698-27-1	sharp|bitter earthy|nutty	
2-Hydroxyacetophenone	118-93-4	vegetal floral vegetal|herbal	savory|meaty fruity vegetal|herbal
2-Hydroxybenzoic Acid	"7681-06-3
8052-31-1
69-72-7"	sharp|sour	
2-Isobutyl-3-Methoxypyrazine	24683-00-9	vegetal|vegetable	
2-Isobutyl-3-Methylpyrazine	13925-06-9	vegetal|vegetable	vegetal|herbal
2-Isobutyl-4,5-Dimethyloxazole	26131-91-9	savory|cooked sharp|bitter	savory|meaty fruity
2-Isobutyl-4-methyltetrahydro-2H-pyran-4-ol	63500-71-0	fruity floral earthy|woody	
2-Isobutylthiazole	18640-74-9	vegetal vegetal|vegetable	
2-Isopropyl-4-Methylthiazole	15679-13-7	earthy vegetal vegetal|herbal	
2-Isopropyl-5-Methyl-2-Hexenal	35158-25-9	fruity sharp|repugnant earthy|woody fruity|berry	floral sweet brown|chocolate earthy|woody sharp|bitter brown
2-Isopropyl-N,2,3-Trimethylbutyramide	51115-67-4	minty vegetal|herbal	
2-Mercapto-3-Butanol	37887-04-0		savory|meaty
2-Mercaptoanisole	7217-59-6	vegetal|allium savory|meaty	savory|meaty fruity vegetal sharp|bitter brown
2-Mercaptomethylpyrazine	59021-02-2	savory|meaty savory|cooked	savory|meaty savory|cooked
2-Methoxy-3 (5 And 6)-Isopropylpyrazine		starchy vegetal|vegetable	
2-Methoxy-3-(1-Methylpropyl)Pyrazine	24168-70-5	vegetal|vegetable sharp|repugnant	sharp|repugnant
2-Methoxy-4-Methylphenol	93-51-6	savory|cooked sharp|spicy	brown|vanilla floral sharp|bitter vegetal|herbal
2-Methoxy-4-Propylphenol	2785-87-7	sharp|sour floral brown	
2-Methoxy-4-Vinylphenol	7786-61-0	savory|cooked earthy|nutty liquorlike	
2-Methoxyacetophenone	4079-52-1	earthy|nutty vegetal|herbal	earthy|nutty sharp|repugnant vegetal|herbal
2-Methoxybenzoic Acid	579-75-9	dairy	
2-Methyl (3 Or 5 Or 6)-Methoxypyrazine (13%)		earthy starchy vegetal|vegetable sharp|repugnant	savory|cooked vegetal|vegetable starchy|bready
2-Methyl-1,3-Cyclohexadiene	1489-57-2	sharp|chemical	
2-Methyl-1,3-Dithiolane	5616-51-3	savory|cooked sharp|bitter	
2-Methyl-1-Butanethiol	1878-18-8	sharp|chemical	
2-Methyl-1-Methylthio-2-Butene	89534-74-7	savory|meaty savory|cooked brown	savory|meaty
2-Methyl-1-Propanethiol	513-44-0	vegetal sharp|spicy	
2-Methyl-2-(Methyldithio)Propanal	67952-60-7		vegetal
2-Methyl-2-Octenal	49576-57-0	fruity	earthy|nutty
2-Methyl-2-Pentenal	623-36-9	vegetal fruity	
2-Methyl-2-Pentenoic Acid	3142-72-1	fruity sharp|sour	sharp|sour
2-Methyl-3 (Or 5 Or 6)-Methylthiopyrazine		savory|cooked starchy|bready vegetal starchy earthy|nutty	sweet brown vegetal|vegetable earthy|nutty
2-Methyl-3 Or 5- Or 6-(Furfurylthio) Pyrazine	59035-98-2		savory|cooked
2-Methyl-3(2-Furyl)Acrolein		dairy	sharp|spicy
2-Methyl-3(Or 5- Or 6-)-Ethoxypyrazine		savory|cooked brown|chocolate sharp|bitter	
2-Methyl-3-(3,4-methylenedioxyphenyl)propanal	1205-17-0	floral fruity|berry	fruity|berry
2-Methyl-3-(Methylthio)Furan			vegetal
2-Methyl-3-(P-Isopropylphenyl)-Propionaldehyde		floral	
2-Methyl-3-Furanthiol	28588-74-1	savory|meaty savory|cooked	savory|meaty savory|cooked sharp|sulfurous
2-Methyl-3-Furyl Methylthiomethyl Disulfide		vegetal|herbal	vegetal
2-Methyl-3-Pentenoic Acid	37674-63-8	dairy	
2-Methyl-3-Tolylpropionaldehyde (Mixed O-, M-, P-)	41496-43-6	sharp|sour fruity brown	fruity
2-Methyl-4,5-Benzoxazole		savory|cooked sharp|bitter vegetal|herbal	savory|meaty fruity floral vegetal|herbal
2-Methyl-4-(2,2,3-trimethyl-3-cyclopenten-1-yl)-2-buten-1-ol	28219-60-5	earthy|woody	
2-Methyl-4-(2,2,3-trimethyl-3-cyclopenten-1-yl)butanol	72089-08-8	earthy|woody	
2-Methyl-4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2-butenal	3155-71-3	floral	
2-Methyl-4-Pentenoic Acid	1575-74-2	sharp|sour	
2-Methyl-4-Phenyl-2-Butanol	103-05-9	vegetal|herbal	floral
2-Methyl-4-Phenyl-2-Butyl Acetate	103-07-1	floral dairy	
2-Methyl-4-Phenyl-2-Butyl Isobutyrate	10031-71-7	fruity sharp|sour vegetal|herbal	fruity
2-Methyl-4-Propyl-1,3-Oxathiane	67715-80-4		fruity sharp|sulfurous
2-Methyl-4-phenyl-2-butanol	103-05-9	floral brown|chocolate sharp|bitter	
2-Methyl-5-Thiomethylfuran	13678-59-6	sharp|sulfurous	sharp|repugnant
2-Methylacetophenone	577-16-2	floral sweet savory|cooked sharp|bitter earthy|nutty brown	sweet brown
2-Methylallyl Butyrate	7149-29-3	fruity sharp|sour	
2-Methylbut-2-En-1-Ol	4675-87-0		savory|meaty fruity
2-Methylbutyl 3-Methyl-2-Butenoate	97890-13-6	fruity floral	
2-Methylbutyl Acetate	624-41-9	fruity	fruity
2-Methylbutyl-2-Methyl Butyrate	2445-78-5	fruity fruity|berry	
2-Methylbutyl-3-Methylbutanoate	2445-77-4	sharp|sour	fruity vegetal|herbal
2-Methylbutylamine	"2799-00-0
34985-37-0"		savory|meaty fruity starchy
2-Methylbutyraldehyde	"96-17-3
57456-98-1"	sharp|sour brown|chocolate sharp|bitter	fruity brown|chocolate sharp|bitter
2-Methylbutyric Acid	116-53-0	sharp|sour fatty	earthy fruity earthy|woody
2-Methylcyclohexanone	583-60-8	minty vegetal|herbal	
2-Methylfuran	534-22-5	brown|chocolate savory|cooked sharp|spicy sharp|bitter	fruity dairy starchy|bready starchy fatty
2-Methylheptanoic Acid	1188-02-9	sharp|sour	fruity sharp|sour earthy|nutty
2-Methylhexanoic Acid	4536-23-6	fruity sharp|sour	fatty dairy
2-Methyloctanal	7786-29-0	floral sharp|sour	
2-Methylpentanal	123-15-9	fruity	vegetal
2-Methylpiperidine	109-05-7	vegetal|vegetable sharp|chemical	savory|meaty fruity starchy vegetal|vegetable
2-Methylpropyl-3-Methylbutyrate	589-59-3	fruity|berry	
2-Methylpyrazine	109-08-0	savory|meaty savory|cooked brown|chocolate sharp|bitter	earthy|nutty
2-Methyltetrahydrofuran-3-One	3188-00-9	minty brown sharp|bitter vegetal|herbal	savory|cooked brown earthy|nutty sharp|bitter
2-Methyltetrahydrothiophen-3-One	13679-85-1		brown sharp|spicy sharp|bitter vegetal|herbal
2-Methylthiophenol	137-06-4		savory|meaty
2-Methylundecanal	110-41-8	floral	sweet floral brown earthy|nutty
2-Methylvaleric Acid	"22160-39-0
97-61-0"	sharp|sour	sharp|sour
2-Naphthyl Mercaptan	91-60-1	savory|meaty sharp|sulfurous earthy|fungal	sharp|sulfurous
2-Nonanol	628-99-9	fruity	
2-Nonanone	821-55-6	floral vegetal|herbal	dairy floral vegetal|herbal
2-Nonanone Propyleneglycol Acetal		dairy	
2-Nonenal		sharp|sour	
2-Octanone	111-13-7	fruity sharp|sour sharp|bitter	sharp|bitter dairy
2-Octen-4-One		dairy	
2-Octenal		floral sweet vegetal liquorlike brown	
2-Oxo-3-Phenylpropionic Acid	156-06-9		sweet fruity starchy
2-Oxobutyric Acid	600-18-0	sweet brown dairy	
2-Pentadecanone	2345-28-0	starchy dairy	liquorlike fruity|berry
2-Pentanethiol	2084-19-7	sharp|sulfurous	sharp|sulfurous savory|cooked savory
2-Pentanol	6032-29-7	fatty	
2-Pentanone	107-87-9	fruity	
2-Pentanoylfuran	3194-17-0	sweet brown	fruity starchy fruity|citrusy
2-Pentenal	764-39-6	savory fruity fatty vegetal|vegetable savory|fishy	savory fruity dairy fatty vegetal|vegetable liquorlike savory|fishy
2-Pentenoic Acid	13991-37-2	sweet brown sharp|sour	savory|meaty fruity dairy sharp|sour fatty
2-Pentyl Acetate	626-38-0	vegetal|herbal	
2-Pentyl Butyrate	60415-61-4	sharp|repugnant	fruity fruity|berry
2-Pentyl-1-Buten-3-One	63759-55-7	earthy|fungal sharp|repugnant dairy	vegetal
2-Pentylcyclopentanone	4819-67-4	fruity floral	
2-Pentylfuran	3777-69-3	vegetal fruity starchy sharp|chemical	
2-Pentylpyridine	2294-76-0	fatty	earthy|fungal vegetal|herbal
2-Pentylthiophene	4861-58-9	savory|meaty	savory|meaty vegetal
2-Phenoxyethyl Isobutyrate	103-60-6	floral sweet fruity sharp|sour brown	fruity
2-Phenyl-2-Butenal	4411-89-6	floral earthy|woody earthy|nutty vegetal|herbal	
2-Phenyl-3-(2-Furyl)-Prop-2-Enal	57568-60-2	dairy	
2-Phenylpropionaldehyde	"93-53-8
1340-11-0
34713-70-7"	floral	
2-Phenylpropionaldehyde Dimethyl Acetal	"90-87-9
130605-86-6"	sharp|spicy earthy|nutty	fruity earthy|nutty
2-Phenylpropyl Butyrate		sharp|sour fruity earthy|woody	earthy|woody
2-Phenylpropyl Isobutyrate	65813-53-8	fruity earthy|woody dairy	fruity
2-Propionyl-2-Thiazoline	29926-42-9	savory|cooked starchy	
2-Propionylpyrrole	1073-26-3	earthy|dry	
2-Propionylpyrroline		savory|cooked	vegetal starchy
2-Propyl-4,5-Dimethyloxazole	53833-32-2	savory|cooked sharp|bitter	savory|meaty fruity
2-Propylpyrazine	18138-03-9	vegetal	
2-Propylpyridine	622-39-9		earthy|nutty
2-Pyridine Methanethiol	2044-73-7		savory|meaty
2-Sec-Butylcyclohexanone	14765-30-1	earthy|woody sharp|repugnant	earthy|woody
2-Thienyl Mercaptan	7774-74-5	sharp|sulfurous sweet savory|cooked sharp|bitter brown	sweet sharp|sulfurous brown
2-Trans, 4-Trans-Decadienal	"30551-18-9
2363-88-4
25152-84-5"	savory|meaty fatty fruity|citrusy	savory|meaty vegetal starchy sharp|bitter fruity|citrusy
2-Trans, 6-Trans-Nonadienal		vegetal fatty	dairy
2-Trans-4-Trans-7-Cis-Decatrienal		fruity fruity|citrusy	fruity|citrusy
2-Trans-6-Trans-Octadienal	56767-18-1		vegetal
2-Tridecanone	593-08-8	sharp|sour earthy|nutty vegetal|herbal	
2-Tridecenal	7774-82-5	sweet sharp|bitter fruity|citrusy	sweet sharp|bitter
2-Tridecenenitrile	22629-49-8	fruity fruity|citrusy	
2-Undecanol	1653-30-1	fruity sharp|salty	fruity
2-Undecanone	112-12-9		fruity
2-Undecen-1-Ol	37617-03-1	fruity	
2-Undecenal	2463-77-6	vegetal	
2-acetyl-2-thiazoline	29926-41-8	savory|meaty	
2-acetyl-3,4-dihydro-5H-pyrrole	85213-22-5	brown starchy|bready	
2-acetylfuran	1192-62-7	fruity earthy|fungal	
2-acetylpyridine	1122-62-9	savory|cooked	
2-acetylpyrrole	1072-83-9	savory|cooked	
2-furaldehyde	98-01-1	starchy|bready	
2-methoxy-3-isopropylpyrazine	25773-40-4		vegetal|vegetable
2-methylthio-3-methylpyrazine	21948-70-9		savory|meaty
2-trans-6-cis-Nonadien-1-ol	28069-72-9	vegetal floral	
2ʹ-Aminoacetophenone	551-93-9	fruity	starchy
3,3,5-Trimethylcyclohexanol	116-02-9	dairy	
3,3-Dimethyl-5-(2,2,3-trimethyl-3-cyclopenten-1-yl)-4-penten-2-ol	107898-54-4	earthy|woody	
3,4-Dimethyl-1,2-Cyclopentanedione	13494-06-9		brown
3,4-Hexanedione	4437-51-8	savory sweet dairy fatty earthy|nutty brown	brown|vanilla savory fatty dairy
3,4-Xylenol			earthy|nutty
3,5,5-Trimethyl-1-Hexanol	3452-97-9	floral fatty vegetal|herbal	fruity earthy|woody fruity|berry
3,5- And 3,6-Dimethyl-2-Isobutylpyrazine	70303-42-3	sharp|repugnant brown|chocolate sharp|bitter earthy|nutty earthy	sharp|sour brown|chocolate brown sharp|bitter
3,5-Diethyl-2-Methylpyrazine	18138-05-1	savory|meaty vegetal earthy|nutty	
3,5-Dimethyl-1,2,4-Trithiolane	23654-92-4		savory|meaty
3,5-Dimethyl-1,2-Cyclopentadione	13494-07-0	savory|meaty brown sharp|bitter	vegetal brown
3,6-Diethyl-1,2,4,5-Tetrathiane And 3,5-Diethyl-1,2,4-Trithiolane Mixture	54717-12-3	savory|cooked brown	vegetal|allium
3,6-Dihydro-4-Methyl-2-(2-Methylpropen-1-Yl)-2H-Pyran	1786-08-9	sharp|sour	
3,6-Dimethyl-2,3,3A,4,5,7A-Hexahydrobenzofuran	74410-10-9	vegetal|herbal	vegetal vegetal|herbal
3,7,11-Trimethyl-2,6,10-Dodecatrienal	19317-11-4	floral	
3,7,11-Trimethyldodeca-2,6,10-Trienyl Acetate	29548-30-9	floral	savory|meaty fruity floral
3,7-Dimethyl-1,3,6-Octatriene		vegetal|herbal	
3,7-Dimethyl-1-Octanol	106-21-8	floral sharp|bitter	floral sharp|bitter earthy|woody
3,7-Dimethyl-7-methoxyoctan-2-ol	41890-92-0	floral earthy|woody	
3,7-Dimethyloctanal	5988-91-0	sharp|sour fruity|citrusy	fruity
3,7-Dimethyloctanenitrile	40188-41-8	sharp|sour fruity|citrusy	
3,9-Dimethyl-6-(1-Methylethyl)-1,4-Dioxaspiro[4.5]Decan-2-One	831213-72-0	dairy	vegetal
3-((Z)-3-Hexenyloxy)-propanenitrile	142653-61-0	floral vegetal|vegetable	
3-(2-Furyl)Acrolein	623-30-3	sharp|spicy vegetal|herbal	sharp|spicy vegetal|herbal
3-(2-Methylpropyl)Pyridine	14159-61-6	dairy	
3-(3-Isopropylphenyl)butanal	125109-85-5	floral	
3-(4-Hydroxyphenyl)-1-(2,4,6-Trihydroxyphenyl)-Propan-1-One	60-82-2		earthy|nutty
3-(5-Methyl-2-Furyl)Prop-2-Enal	5555-90-8	sharp|spicy	fruity starchy
3-(Hydroxymethyl)-2-Octanone	59191-78-5	earthy vegetal|herbal	
3-(Methylthio) Hexyl Acetate	51755-85-2	sharp|sulfurous	vegetal sharp|sulfurous
3-(Methylthio) Propionaldehyde	3268-49-3	savory|meaty vegetal sharp|sour fatty vegetal|allium	savory|meaty savory
3-(Methylthio)Methylthiophene	61675-72-7	savory|cooked brown dairy	savory|meaty vegetal savory|cooked
3-(Methylthio)Propanol	505-10-2	savory|meaty sharp|sulfurous savory	savory|meaty sharp|chemical vegetal|allium
3-(P-Isopropylphenyl)-Propionaldehyde	7775-00-0	floral sharp|sour	fruity
3-Acetyl-2,5-Dimethylfuran	10599-70-9	savory|cooked earthy|nutty	savory|cooked earthy|nutty sharp|repugnant
3-Acetyl-2,5-Dimethylthiophene	2530-10-1	savory|cooked sharp|bitter earthy|nutty	
3-Acetylpyridine	350-03-8	starchy earthy|nutty	
3-Benzyl-4-Heptanone	7492-37-7	vegetal|herbal fruity earthy|woody fruity|berry minty	fruity
3-Butenyl Isothiocyanate	3386-97-8		vegetal
3-Butylidenephthalide	551-08-6	sharp|spicy	vegetal|vegetable
3-Carene	13466-78-9	earthy|woody fatty	vegetal sharp|chemical
3-Decanol	1565-81-7	earthy|fungal sharp|repugnant	dairy
3-Decanone	928-80-3	fruity floral sharp|sour	
3-Decen-2-One	10519-33-2	fruity floral	
3-Ethyl-2-Hydroxy-2-Cyclopenten-1-One	21835-01-8	brown	sweet brown liquorlike
3-Ethylpyridine	536-78-7	starchy	vegetal|herbal
3-Heptanol	589-82-2	sharp|bitter vegetal|herbal	sharp|bitter
3-Heptanone	106-35-4	fruity	fruity
3-Hepten-2-One	1119-44-4	vegetal sharp|sour dairy	earthy earthy|fungal
3-Heptyldihydro-5-Methyl-2(3H)-Furanone	40923-64-6		fruity
3-Hexanol	623-37-0	fruity	fruity fatty
3-Hexanone	589-38-8	vegetal fruity fatty liquorlike	
3-Hexen-1-Ol	928-96-1	vegetal vegetal|herbal	
3-Hexenal	4440-65-7	fruity	fruity vegetal|vegetable
3-Hexenoic Acid	4219-24-3	fruity sharp|sour	
3-Hexenyl Phenylacetate		floral	
3-Hydroxy-2-Octanone	37160-77-3		fruity
3-Hydroxy-2-Oxopropionic Acid	1113-60-6		sweet vegetal
3-Hydroxy-2-butanone	52217-02-4	fatty dairy	sweet brown fruity|citrusy
3-Isopropenylpentanedioic Acid	6839-75-4		savory|cooked brown savory
3-Mercapto-2-Butanone	40789-98-8	sharp|chemical	
3-Mercapto-2-Methylpentan-1-Ol (Racemic)	227456-27-1	vegetal|allium	vegetal|allium vegetal
3-Mercapto-2-Methylpentanal	227456-28-2	savory|meaty fatty vegetal|allium	vegetal starchy
3-Mercapto-3-Methyl-1-Butyl Acetate	50746-09-3	fruity	fruity brown sharp|bitter
3-Mercapto-3-Methylbutyl Formate	50746-10-6	vegetal|herbal	earthy|nutty
3-Mercaptoheptyl Acetate	548774-80-7	fruity sharp|sulfurous	
3-Mercaptohexanol	51755-83-0	fruity sharp|sulfurous	fruity sharp|sulfurous
3-Mercaptohexyl Acetate	136954-20-6	sharp|sulfurous	vegetal|allium sharp|sulfurous
3-Mercaptohexyl Butyrate	136954-21-7	sharp|sulfurous	fruity sharp|sulfurous
3-Methoxybenzoic Acid	586-38-9	dairy	
3-Methyl-1-Butanethiol	2084-18-6	sharp|chemical	
3-Methyl-1-Pentanol	589-35-5	fruity	liquorlike
3-Methyl-1-phenyl-3-pentanol	10415-87-9	fruity floral	
3-Methyl-2(3-Methylbut-2-En-1-Yl)Furan	15186-51-3	sweet brown	sweet fruity brown savory|meaty
3-Methyl-2,4-Nonanedione	113486-29-6		fruity
3-Methyl-2-(N-Pentanyl)-2-Cyclopenten-1-One	1128-08-1	fruity floral earthy|woody vegetal|herbal	
3-Methyl-2-Butanol	598-75-4	fruity	
3-Methyl-2-Buten-1-Ol	556-82-1	sharp|chemical	
3-Methyl-2-Butenal	107-86-8	earthy|nutty	
3-Methyl-2-Cyclohexen-1-One	1193-18-6	fruity sharp|sulfurous sharp|sour earthy|nutty	fruity earthy|nutty
3-Methyl-2-Oxobutanoic Acid	759-05-7	fruity sharp|sour dairy	vegetal
3-Methyl-2-Oxopentanoic Acid	1460-34-0		vegetal
3-Methyl-2-Phenylbutyraldehyde	2439-44-3	fruity	fruity sharp|bitter
3-Methyl-2-cyclopenten-2-ol-1-one		sweet brown earthy|woody	sweet brown
3-Methyl-4-Phenyl-3-Butene-2-One	1901-26-4	fruity fruity|berry	
3-Methyl-5-(2,2,3-trimethyl-3-cyclopenten-1-yl)-4-penten-2-ol	67801-20-1	earthy|woody	
3-Methyl-5-Propyl-2-Cyclohexen-1-One	3720-16-9	sharp|spicy earthy|woody	
3-Methyl-5-phenyl-2-pentenonitrile	93893-89-1	sharp|sour brown fruity|citrusy	
3-Methyl-5-phenylpentanol	55066-48-3	floral	
3-Methylbutyl 2-Methylbutanoate	27625-35-0	fruity	
3-Methylbutyl-2-Methylpropanoate	2050-01-3	fruity	
3-Methylbutyraldehyde	590-86-3	fruity earthy|nutty	
3-Methylcrotonic Acid	541-47-9	sharp|sour dairy	
3-Methylcyclopentadecanone	541-91-3	floral	
3-Methylhexanal	19269-28-4		fruity
3-Methylpentanoic Acid	105-43-1	sharp|sour vegetal|herbal	sharp|sour
3-Methylthio-1-Hexanol	51755-66-9	vegetal|allium vegetal sharp|sulfurous sharp|chemical	earthy vegetal sharp|chemical
3-Methylthiobutyraldehyde	16630-52-7	starchy	vegetal starchy
3-Methylthiopropyl Isothiocyanate	505-79-3	vegetal|vegetable sharp|repugnant	sharp|spicy earthy|woody
3-N-Butylphthalide	6066-49-5	sharp|spicy vegetal|herbal	
3-Nonanon-1-Yl-1 Acetate		fruity vegetal|herbal	
3-Nonanone	925-78-0	vegetal fruity vegetal|herbal	
3-Nonen-2-One		fruity	
3-Octanol	589-98-0	earthy earthy|nutty earthy|fungal vegetal|herbal	sharp|repugnant
3-Octanon-1-Ol	65405-68-7	fruity sharp|spicy sharp|bitter vegetal|herbal	
3-Octanone	106-68-3	fruity floral	earthy|fungal
3-Octen-2-Ol		floral brown earthy|fungal	earthy|fungal
3-Octen-2-One	1669-44-9	fruity starchy|bready vegetal starchy sharp|sour vegetal|vegetable fruity|citrusy	
3-Octyl Acetate	4864-61-3	floral	fruity
3-Oxodecanoic Acid Glyceride	91052-69-6	sharp|sour	
3-Oxododecanoic Acid Glyceride	91052-70-9	sharp|sour	
3-Oxohexadecanoic Acid Glyceride	91052-71-0	sharp|sour	
3-Oxohexanoic Acid Glyceride	91052-72-1	sharp|sour	
3-Oxooctanoic Acid Glyceride	91052-68-5	sharp|sour	
3-Oxotetradecanoic Acid Glyceride	91052-73-2	sharp|sour	
3-Penten-2-One	625-33-2	fruity sharp|sour	sharp|repugnant
3-Phenyl-1-Propanol	122-97-4	floral	fruity sharp|spicy
3-Phenylpropionaldehyde	104-53-0	sharp|sour floral brown	
3-Phenylpropionic Acid	501-52-0	brown sharp|sour	brown|vanilla sharp|sour
3-Phenylpropyl Acetate	122-72-5	floral sharp|spicy	sweet fruity|berry sharp|sour sharp|bitter brown
3-Phenylpropyl Cinnamate	122-68-9	sharp|sour floral brown	sharp|sour brown|chocolate brown sharp|bitter
3-Phenylpropyl Formate	104-64-3	sweet floral brown	fruity vegetal|herbal
3-Phenylpropyl Hexanoate	6281-40-9	fruity sharp|sour	fruity
3-Phenylpropyl Isobutyrate	103-58-2	sweet fruity sharp|sour sharp|bitter brown	sweet fruity sharp|sour sharp|bitter brown
3-Phenylpropyl Isovalerate	5452-07-3	fruity sharp|sour fruity|berry	fruity earthy|nutty
3-Phenylpropyl Propionate	122-74-7	sharp|sour floral brown	fruity
3-Pinanone	18358-53-7	earthy|woody	savory|meaty fruity earthy|woody vegetal|herbal
3-Propylidenephthalide		sharp|spicy vegetal|herbal	sharp|spicy vegetal|herbal
3-[(2-Methyl-3-Furyl)-Thio]-4-Heptanone	61295-41-8	savory|meaty savory|cooked	
3-[(l)-Menthoxy]propane-1,2-diol	87061-04-9	earthy|woody	
3-trans-Isocamphylcyclohexanol	4105-12-8	earthy|woody	
3a,6,6,9a-Tetramethyldodecahydronaphtho[2,1-b]furan	6790-58-5		fatty
4,4-Dibutyl-Γ-Butyrolactone	7774-47-2	brown fatty dairy	brown
4,4a,5,9b-Tetrahydro-2,4-dimethylindeno[1,2-d]-m-dioxin	27606-09-3	floral	
4,5,6,7-Tetrahydro-3,6-Dimethylbenzofuran	494-90-6		sharp|repugnant
4,5-Dihydro-3-(2H)Thiophenone	1003-04-9	savory|meaty sharp|sulfurous dairy vegetal sharp|sour fatty	vegetal|allium
4,5-Dimethyl Thiazole	3581-91-7	savory|meaty	
4,5-Dimethyl-2-Ethyl-3-Thiazoline	76788-46-0	savory|meaty vegetal	
4,5-Dimethyl-2-Isobutyl-3-Thiazoline	65894-83-9	savory|meaty vegetal|herbal	sharp|sulfurous
4,5-Dimethyl-3-Hydroxy-2,5-Dihydrofuran-2-One	28664-35-9		savory|meaty vegetal|herbal
4,5-Epoxy-(E)-2-Decenal	188590-62-7	fruity	vegetal fruity
4,6,6,7,8,8-Hexamethyl-1,3,4,6,7,8-hexahydrocyclopenta[g]benzopyran	1222-05-5	earthy|woody	
4-(2,6,6-Trimethyl-Cyclohexa-1,3-Dienyl)But-2-En-4-One	23696-85-7	brown sharp|sour	sharp|sour fruity brown sharp|spicy
4-(2-Furyl)-3-Buten-2-One	623-15-4	sharp|spicy dairy	sharp|spicy earthy|nutty
4-(3,4-Methylenedioxyphenyl)-2-Butanone	55418-52-5	floral earthy|woody fruity|berry	
4-(4-Hydroxyphenyl)-2-butanone	5471-51-2	fruity|berry	
4-(Methylthio)-2-Oxobutanoic Acid	583-92-6	vegetal|herbal	
4-(Methylthio)Butanal	42919-64-2	vegetal|allium vegetal|vegetable	
4-(Methylthio)Butyl Isothiocyanate	4430-36-8	vegetal|vegetable	
4-(P-Acetoxyphenyl)-2-Butanone	3572-06-3	fruity fruity|berry	
4-(P-Hydroxyphenyl)-2-Butanone	5471-51-2	fruity fruity|berry	fruity
4-(P-Methoxyphenyl)-2-Butanone	104-20-1	fruity floral fruity|berry	brown|vanilla fruity floral fruity|berry
4-(P-Tolyl)-2-Butanone	7774-79-0	fruity floral fruity|berry	fruity
4-Acetoxy-2,5-Dimethyl-3(2H)-Furanone	4166-20-5	sharp|sour	savory|meaty savory
4-Acetyl-1,1-dimethyl-6-tert-butylindane	13171-00-1		sharp|sulfurous sharp|sour
4-Acetyl-2,5-Dimethyl-3(2H)-Furanone	36871-78-0		savory|meaty fruity
4-Acetyl-6-Tert-Butyl-1,1-Dimethylindane	13171-00-1		fatty
4-Allyl-2, 6-Dimethoxyphenol	6627-88-9	savory|meaty savory|cooked sharp|bitter fatty	savory|meaty fruity savory|cooked fatty liquorlike
4-Allylphenol	501-92-8		vegetal
4-Aminobutyric Acid	"28805-76-7
70582-09-1
56-12-2
3131-86-0"	savory|meaty savory	
4-Carvomenthenol	562-74-3	vegetal|herbal	
4-Decenal	30390-50-2	sharp|sour fruity|citrusy	
4-Decenoic Acid	26303-90-2	fruity sharp|sour	
4-Ethyl-2,6-Dimethoxyphenol	14059-92-8	savory|meaty	savory|meaty savory|cooked starchy sharp|bitter liquorlike savory|fishy brown
4-Ethylbenzaldehyde	4748-78-1	sharp|bitter earthy|nutty	savory|meaty earthy|nutty
